日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,3.222,3.173,3.222,3.171,9429306,3269676679.0,1.58,-1.43,-0.046,1.98
2024-01-03,3.166,3.163,3.18,3.148,10617503,3654757871.0,1.01,-0.32,-0.01,2.23
2024-01-04,3.162,3.133,3.162,3.107,16661525,5674869534.0,1.74,-0.95,-0.03,3.5
2024-01-05,3.124,3.116,3.159,3.097,16996697,5796964474.0,1.98,-0.54,-0.017,3.57
2024-01-08,3.109,3.069,3.123,3.066,17304244,5816612453.0,1.83,-1.51,-0.047,3.64
2024-01-09,3.071,3.077,3.091,3.059,11312178,3794394933.0,1.04,0.26,0.008,2.38
2024-01-10,3.07,3.061,3.101,3.052,9582541,3211385597.0,1.59,-0.52,-0.016,2.02
2024-01-11,3.061,3.08,3.1,3.054,12662372,4254642486.0,1.5,0.62,0.019,2.66
2024-01-12,3.071,3.069,3.097,3.066,8413273,2826380699.0,1.01,-0.36,-0.011,1.77
2024-01-15,3.05,3.065,3.095,3.044,9055706,3030920178.0,1.66,-0.13,-0.004,1.9
2024-01-16,3.06,3.087,3.088,3.046,17689524,5925099758.0,1.37,0.72,0.022,3.72
2024-01-17,3.077,3.012,3.077,3.01,12862152,4278633103.0,2.17,-2.43,-0.075,2.71
2024-01-18,3.007,3.057,3.064,2.955,47543511,15257021704.0,3.62,1.49,0.045,10.0
2024-01-19,3.038,3.064,3.074,3.031,36944521,12079016731.0,1.41,0.23,0.007,7.77
2024-01-22,3.054,2.995,3.064,2.982,46470565,15113081733.0,2.68,-2.25,-0.069,9.77
2024-01-23,2.988,3.017,3.036,2.975,13924804,4481443569.0,2.04,0.73,0.022,2.93
2024-01-24,3.028,3.068,3.069,2.977,22789369,7373901841.0,3.05,1.69,0.051,4.79
2024-01-25,3.059,3.124,3.129,3.05,16487014,5449682868.0,2.57,1.83,0.056,3.47
2024-01-26,3.117,3.118,3.139,3.101,21833051,7273329362.0,1.22,-0.19,-0.006,4.59
2024-01-29,3.12,3.088,3.134,3.087,10113930,3358335864.0,1.51,-0.96,-0.03,2.13
2024-01-30,3.07,3.032,3.087,3.03,18892623,6186331951.0,1.85,-1.81,-0.056,3.97
2024-01-31,3.022,3.011,3.038,2.986,19090997,6157214385.0,1.72,-0.69,-0.021,4.02
