Date,Close,High,Low,Open,Volume
,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
2024-01-02,291.5151062011719,299.771090902562,289.3528109247761,294.8568107238315,23354069
2024-01-03,295.446533203125,296.42938924838194,287.3871016342633,288.9596773055517,20391718
2024-01-04,293.6773681640625,299.18136790091205,292.8910953421063,299.18136790091205,20217430
2024-01-05,287.1905517578125,291.5151124082995,284.6351200115836,290.33567314253645,23745017
2024-01-08,283.06256103515625,289.5494173910896,280.31057591173646,289.3528341703932,16718452
2024-01-09,278.7380065917969,284.2420069606336,278.54142336654274,281.0968553229015,16927478
2024-01-10,275.39630126953125,280.31058194889914,272.05456641204995,277.16543031634814,19146068
2024-01-11,282.4728088378906,287.38708884548925,275.19968042552165,275.78940002531044,20604580
2024-01-12,283.4556579589844,287.9768014551086,279.9173704405226,280.703673219283,15770055
2024-01-15,284.43853759765625,288.76309826023277,282.66940868845245,285.0282572321864,16334371
2024-01-16,277.55853271484375,283.8488052137281,275.19968427706027,278.934525137352,22236094
2024-01-17,269.89227294921875,274.0202502956005,267.5334244663741,272.2511214320634,36114167
2024-01-18,272.8408508300781,274.4134265397982,266.5505779855849,269.89228262224816,24604079
2024-01-19,266.5505676269531,277.7551203824007,263.6019995337098,270.2854085473071,26897479
2024-01-22,257.7048645019531,266.9437052366361,255.7391524309829,265.96084920115095,33654810
2024-01-23,267.33685302734375,273.43057270439834,258.6877315448022,262.22598942759555,35610787
2024-01-24,276.9688415527344,279.52427345378123,267.53344683254346,274.80657609368575,33863638
2024-01-25,285.8145446777344,286.99398400702535,275.98598358160336,280.11399123973365,34160783
2024-01-26,277.9516906738281,285.2248497463174,276.37914492296426,283.25913756335,24815795
2024-01-29,277.1654357910156,283.4557091859764,274.61000378839077,281.0968604121648,20159014
2024-01-30,269.1059875488281,275.19970735223995,268.31971466843396,272.4477222764727,21505998
